"Calendar year","ABS remoteness area","Age group","Sex","Road user","Hospitalisations"
2012,"Regional","26-39","Male","Car",623
2012,"Regional","26-39","Male","Heavy transport vehicle",73
2012,"Regional","26-39","Male","Motorcyclist",609
2012,"Regional","26-39","Male","Other",65
2012,"Regional","26-39","Male","Pedal cyclist",158
2012,"Regional","40-64","Female","Car",693
2012,"Regional","40-64","Female","Heavy transport vehicle",8
2012,"Regional","40-64","Female","Motorcyclist",95
2012,"Regional","40-64","Female","Other",61
2012,"Regional","40-64","Female","Pedal cyclist",111
2012,"Regional","40-64","Male","Car",722
2012,"Regional","40-64","Male","Heavy transport vehicle",143
2012,"Regional","40-64","Male","Motorcyclist",784
2012,"Regional","40-64","Male","Other",106
2012,"Regional","40-64","Male","Pedal cyclist",325
2012,"Regional","65-74","Female","Car",220
2012,"Regional","65-74","Female","Motorcyclist",7
2012,"Regional","65-74","Female","Other",37
2012,"Regional","65-74","Female","Pedal cyclist",24
2012,"Regional","65-74","Male","Car",184
2012,"Regional","65-74","Male","Heavy transport vehicle",8
2012,"Regional","65-74","Male","Motorcyclist",71
2012,"Regional","65-74","Male","Other",30
2012,"Regional","65-74","Male","Pedal cyclist",54
2012,"Regional","75+","Female","Car",213
2012,"Regional","75+","Female","Heavy transport vehicle",1
2012,"Regional","75+","Female","Motorcyclist",2
2012,"Regional","75+","Female","Other",36
2012,"Regional","75+","Female","Pedal cyclist",8
2012,"Regional","75+","Male","Car",181
2012,"Regional","75+","Male","Motorcyclist",16
2012,"Regional","75+","Male","Other",30
2012,"Regional","75+","Male","Pedal cyclist",34
2012,"Regional","8-16","Female","Car",121
2012,"Regional","8-16","Female","Motorcyclist",32
2012,"Regional","8-16","Female","Other",42
2012,"Regional","8-16","Female","Pedal cyclist",70
2012,"Regional","8-16","Male","Car",115
2012,"Regional","8-16","Male","Heavy transport vehicle",1
2012,"Regional","8-16","Male","Motorcyclist",224
2012,"Regional","8-16","Male","Other",55
2012,"Regional","8-16","Male","Pedal cyclist",217
2012,"Remote","0-7","Female","Car",13
2012,"Remote","0-7","Female","Other",3
2012,"Remote","0-7","Female","Pedal cyclist",4
2012,"Remote","0-7","Male","Car",11
2012,"Remote","0-7","Male","Motorcyclist",3
2012,"Remote","0-7","Male","Other",6
2012,"Remote","0-7","Male","Pedal cyclist",5
2012,"Remote","17-25","Female","Car",69
2012,"Remote","17-25","Female","Heavy transport vehicle",1
2012,"Remote","17-25","Female","Motorcyclist",12
2012,"Remote","17-25","Female","Other",6
2012,"Remote","17-25","Male","Car",105
2012,"Remote","17-25","Male","Heavy transport vehicle",1
2012,"Remote","17-25","Male","Motorcyclist",85
2012,"Remote","17-25","Male","Other",13
2012,"Remote","17-25","Male","Pedal cyclist",10
2012,"Remote","26-39","Female","Car",81
2012,"Remote","26-39","Female","Heavy transport vehicle",1
2012,"Remote","26-39","Female","Motorcyclist",13
2012,"Remote","26-39","Female","Other",5
2012,"Remote","26-39","Female","Pedal cyclist",3
2012,"Remote","26-39","Male","Car",119
2012,"Remote","26-39","Male","Heavy transport vehicle",5
2012,"Remote","26-39","Male","Motorcyclist",78
2012,"Remote","26-39","Male","Other",13
2012,"Remote","26-39","Male","Pedal cyclist",11
2012,"Remote","40-64","Female","Car",75
2012,"Remote","40-64","Female","Heavy transport vehicle",3
2012,"Remote","40-64","Female","Motorcyclist",10
2012,"Remote","40-64","Female","Other",13
2012,"Remote","40-64","Female","Pedal cyclist",6
2012,"Remote","40-64","Male","Car",111
2012,"Remote","40-64","Male","Heavy transport vehicle",6
2012,"Remote","40-64","Male","Motorcyclist",69
2012,"Remote","40-64","Male","Other",33
2012,"Remote","40-64","Male","Pedal cyclist",19
2012,"Remote","65-74","Female","Car",19
2012,"Remote","65-74","Female","Other",0
2012,"Remote","65-74","Female","Pedal cyclist",2
2012,"Remote","65-74","Male","Car",15
2012,"Remote","65-74","Male","Heavy transport vehicle",3
2012,"Remote","65-74","Male","Motorcyclist",3
2012,"Remote","65-74","Male","Other",2
2012,"Remote","65-74","Male","Pedal cyclist",3
2012,"Remote","75+","Female","Car",9
2012,"Remote","75+","Female","Other",1
2012,"Remote","75+","Male","Car",7
2012,"Remote","75+","Male","Heavy transport vehicle",1
2012,"Remote","75+","Male","Motorcyclist",2
2012,"Remote","75+","Male","Other",2
2012,"Remote","75+","Male","Pedal cyclist",1
2012,"Remote","8-16","Female","Car",24
2012,"Remote","8-16","Female","Motorcyclist",5
2012,"Remote","8-16","Female","Pedal cyclist",3
2012,"Remote","8-16","Male","Car",29
